Date,Average air temp (°C),RH (%),Average wind dirn (deg),Average wind speed (km/h),Total daily precipitation (mm)
DATETIME,TEMP,RH,WD,WS,PRECIP
16/09/2014 12:00,12.1,84,151,5.4,24.5
17/09/2014 12:00,11.5,78,76,4.6,2.2
18/09/2014 12:00,10.2,89,238,3,0.6
19/09/2014 12:00,14.1,83,202,5.8,16.7
20/09/2014 12:00,11.6,68,120,7.9,13.2
21/09/2014 12:00,11.8,70,172,3.3,6
22/09/2014 12:00,10.2,64,281,7.6,14.8
23/09/2014 12:00,13.4,57,65,4.6,0
24/09/2014 12:00,16.7,56,56,5.1,0
25/09/2014 12:00,16.4,68,182,3.8,0
26/09/2014 12:00,15.3,62,131,4.4,0
27/09/2014 12:00,13.4,70,210,4.1,0
28/09/2014 12:00,16.4,76,183,2.3,7
29/09/2014 12:00,14.2,57,235,3.8,0.3
30/09/2014 12:00,16.7,55,172,3.5,0.3
1/10/2014 12:00,17.1,42,234,3.2,0
2/10/2014 12:00,12,76,137,4,0
3/10/2014 12:00,11.5,92,148,8.6,10.5
4/10/2014 12:00,7.3,83,59,6.3,12.9
5/10/2014 12:00,10.9,77,77,4.5,1.9
6/10/2014 12:00,14.6,75,96,7.9,5.1
7/10/2014 12:00,13.3,46,2,6.8,0.3
8/10/2014 12:00,11.4,95,180,4.7,0
9/10/2014 12:00,15.5,58,69,3.2,16
10/10/2014 12:00,15.8,62,334,3.3,0
11/10/2014 12:00,16.5,59,165,2.2,0
12/10/2014 12:00,17.8,67,189,4.3,0
13/10/2014 12:00,13.8,76,208,1.2,0
14/10/2014 12:00,14.1,80,120,3.1,0
15/10/2014 12:00,19.1,70,182,4.2,0
16/10/2014 12:00,14.8,84,27,1.5,0
17/10/2014 12:00,15.8,63,228,5.2,0
18/10/2014 12:00,15.8,76,219,4.6,5.3
19/10/2014 12:00,16.4,85,167,4.4,21.6
20/10/2014 12:00,16.4,64,142,6.5,0
21/10/2014 12:00,17.1,58,8,2.1,0
22/10/2014 12:00,17.7,62,13,1.4,0
23/10/2014 12:00,18,64,130,4.2,4.4
24/10/2014 12:00,15.6,57,36,5,0
25/10/2014 12:00,14.4,37,261,3.5,1.6
26/10/2014 12:00,13.4,64,106,5.9,0
27/10/2014 12:00,12.2,94,155,6,2.2
28/10/2014 12:00,16.1,78,231,3.2,18.5
29/10/2014 12:00,17.7,73,144,5.8,13.8
30/10/2014 12:00,14.1,67,45,8,7.7
31/10/2014 12:00,13.6,76,77,6.7,0.6
1/11/2014 12:00,18.3,63,170,5.1,0
2/11/2014 12:00,17.4,71,141,4,0
3/11/2014 12:00,15,80,192,1.8,14.8
4/11/2014 12:00,15.3,67,184,2.1,0.6
5/11/2014 12:00,15,61,119,1.4,0
6/11/2014 12:00,12.7,63,266,2.8,8.4
7/11/2014 12:00,14.2,55,64,3.9,2.1
8/11/2014 12:00,17.1,61,200,3.4,0
9/11/2014 12:00,20.4,57,182,4.5,0
10/11/2014 12:00,18.7,51,33,4.3,0
11/11/2014 12:00,14.4,83,166,4.7,0
12/11/2014 12:00,12,77,114,6.2,22.5
13/11/2014 12:00,12.8,55,21,4.4,13.3
14/11/2014 12:00,15.7,56,15,4,0
15/11/2014 12:00,13.1,96,148,6.4,3.8
16/11/2014 12:00,15.1,70,54,6.8,6.8
17/11/2014 12:00,10.2,96,9,2.6,10.9
18/11/2014 12:00,16.4,50,121,6.8,7.6
19/11/2014 12:00,14.9,64,130,6.8,0.3
20/11/2014 12:00,14.4,55,102,6.5,2.2
21/11/2014 12:00,17,57,65,5.5,0
22/11/2014 12:00,16.9,78,112,5.8,0.3
23/11/2014 12:00,20,62,166,4.1,1.5
24/11/2014 12:00,19.6,72,181,4.7,0
25/11/2014 12:00,22.5,68,148,4.4,0.8
26/11/2014 12:00,17.2,83,104,4,4
27/11/2014 12:00,18.6,52,143,6.4,0
28/11/2014 12:00,16.1,80,236,5.5,8.7
29/11/2014 12:00,14,61,85,5.5,3.9
30/11/2014 12:00,15.8,69,136,6.4,0
1/12/2014 12:00,13.8,68,141,3,2.6
2/12/2014 12:00,15.5,37,312,3.9,1.6
3/12/2014 12:00,18.9,60,205,4.5,0
4/12/2014 12:00,16.3,58,64,4.9,0
5/12/2014 12:00,17.9,85,55,3.7,0.8
6/12/2014 12:00,20.4,56,345,2.4,0
7/12/2014 12:00,20.1,59,52,6,0
8/12/2014 12:00,22.5,47,62,1.8,0
9/12/2014 12:00,16.5,90,196,4.2,0.3
10/12/2014 12:00,17.3,82,123,3.3,0.3
11/12/2014 12:00,16.5,89,68,0.9,19.3
12/12/2014 12:00,14.7,71,106,3,0.3
13/12/2014 12:00,19.1,60,190,2.4,0
14/12/2014 12:00,11.1,94,142,2.6,27.3
15/12/2014 12:00,18.8,55,164,3.5,7.7
16/12/2014 12:00,21.3,47,34,2.7,0
17/12/2014 12:00,15.2,82,153,1.1,3.8
18/12/2014 12:00,19.9,82,170,6,18.4
19/12/2014 12:00,21.1,74,172,4.1,1.4
20/12/2014 12:00,22.7,68,217,3.6,0
21/12/2014 12:00,22.5,65,140,3.6,5
22/12/2014 12:00,22.4,62,209,3.7,0
23/12/2014 12:00,23,52,202,3.2,0
24/12/2014 12:00,21,70,215,3.9,0
25/12/2014 12:00,17.8,78,200,0.4,0
26/12/2014 12:00,22.4,50,318,1.7,0
27/12/2014 12:00,20,57,218,2.4,0
28/12/2014 12:00,20.3,57,48,0.8,0
29/12/2014 12:00,25.2,52,286,1.1,0.8
30/12/2014 12:00,21.6,54,219,3.6,0
31/12/2014 12:00,19.2,58,267,4,0
1/01/2015 12:00,19.3,49,20,3,9.7
2/01/2015 12:00,21.9,54,123,3.6,0
3/01/2015 12:00,20.6,58,100,1.9,0
4/01/2015 12:00,22.8,61,171,2.7,0
5/01/2015 12:00,22.1,64,204,4.1,0
6/01/2015 12:00,22.8,60,149,3.9,0
7/01/2015 12:00,23.2,63,83,3,0
8/01/2015 12:00,25.3,46,192,2.1,0
9/01/2015 12:00,20.4,74,167,3.5,9.7
10/01/2015 12:00,22.7,53,4,2.8,0
11/01/2015 12:00,23.4,55,175,4.1,0
12/01/2015 12:00,23.7,59,61,4.5,0
13/01/2015 12:00,24.8,67,161,3.1,0
14/01/2015 12:00,24.3,60,201,3.6,0
15/01/2015 12:00,25.7,53,145,2.5,0
16/01/2015 12:00,24.2,56,223,3,0
17/01/2015 12:00,21.5,67,240,3.9,0
18/01/2015 12:00,23.8,49,16,3.9,0.3
19/01/2015 12:00,23.7,47,131,4.1,0
20/01/2015 12:00,22,57,135,2.1,0
21/01/2015 12:00,24.3,32,167,4.9,0
22/01/2015 12:00,23.3,39,26,1.9,0
23/01/2015 12:00,27.1,40,205,2.3,0
24/01/2015 12:00,24.8,47,354,2.2,0
25/01/2015 12:00,28.2,29,201,1.7,0
26/01/2015 12:00,25.3,32,189,1.5,0
27/01/2015 12:00,21.4,54,191,2.8,0
28/01/2015 12:00,25.1,53,160,1.7,0
29/01/2015 12:00,25.6,53,117,0.6,20.7
30/01/2015 12:00,25.1,54,44,0.6,0
31/01/2015 12:00,19,93,139,1.2,1.8
1/02/2015 12:00,21.1,79,353,0.8,3.3
2/02/2015 12:00,19.8,84,180,4.8,26.5
3/02/2015 12:00,23,60,120,5,2.7
4/02/2015 12:00,20.8,64,171,4.7,0
5/02/2015 12:00,18,53,69,5.4,3.5
6/02/2015 12:00,18.3,48,58,7.1,2.3
7/02/2015 12:00,20.2,48,190,3.1,0
8/02/2015 12:00,23.4,57,206,3.1,0
9/02/2015 12:00,20.7,61,141,5.2,0
10/02/2015 12:00,20.4,52,155,4,0
11/02/2015 12:00,18.6,51,158,2.4,0
12/02/2015 12:00,20.2,50,23,1.5,0
13/02/2015 12:00,21.3,50,18,2.3,0
14/02/2015 12:00,21.1,51,243,2,0
15/02/2015 12:00,20.8,43,301,1.3,0
16/02/2015 12:00,21.8,47,129,1,0
17/02/2015 12:00,23.8,42,174,1.8,0
18/02/2015 12:00,23.1,49,154,2.9,0
19/02/2015 12:00,24.8,52,184,3.9,0
20/02/2015 12:00,24.4,46,58,1.5,0
21/02/2015 12:00,20.8,65,199,3.5,0
22/02/2015 12:00,21.3,72,166,2.2,1.8
23/02/2015 12:00,17.4,88,34,0.4,1.8
24/02/2015 12:00,22,50,21,1.6,0.3
25/02/2015 12:00,20.6,65,161,3.7,0
26/02/2015 12:00,20.6,62,144,1.5,0
27/02/2015 12:00,21.2,67,152,1.9,0.8
28/02/2015 12:00,23.6,49,199,1.5,3.3
1/03/2015 12:00,24.6,50,178,1.2,0
2/03/2015 12:00,25.5,50,190,2.1,0
3/03/2015 12:00,22.8,50,232,1.7,0
4/03/2015 12:00,20.6,63,349,0.5,0
5/03/2015 12:00,23.3,54,147,0.4,0
6/03/2015 12:00,20.4,72,279,6.8,0
7/03/2015 12:00,20.2,70,226,5.4,8.1
8/03/2015 12:00,18.1,62,49,6.2,12.7
9/03/2015 12:00,19.3,58,347,2.3,0
10/03/2015 12:00,22.9,47,16,2.3,0
11/03/2015 12:00,20.9,65,215,0.6,0
12/03/2015 12:00,17.4,89,112,1.2,6.8
13/03/2015 12:00,19.3,70,305,1.1,0.5
14/03/2015 12:00,24.6,54,50,0.7,0
15/03/2015 12:00,21.5,53,165,3.2,0
16/03/2015 12:00,17.6,76,270,5.2,11
17/03/2015 12:00,18.9,65,65,3.9,0
18/03/2015 12:00,15.9,58,53,3.1,0
19/03/2015 12:00,16.6,52,242,2.2,0
20/03/2015 12:00,17.4,43,166,1.5,0
21/03/2015 12:00,19,47,24,2.5,0
22/03/2015 12:00,19,56,167,2.1,0
23/03/2015 12:00,14.4,91,50,1.7,2.1
24/03/2015 12:00,17.6,71,58,1.5,0.3
25/03/2015 12:00,20.4,61,214,1.9,0
26/03/2015 12:00,18.6,70,200,2.8,0.3
27/03/2015 12:00,23.2,52,347,2.9,0
28/03/2015 12:00,20.6,66,255,3.9,0
29/03/2015 12:00,18.7,83,184,3,14.6
30/03/2015 12:00,16.7,83,124,0.7,2.2
31/03/2015 12:00,18.4,58,50,3,0
1/04/2015 12:00,21.1,58,193,0.9,0
2/04/2015 12:00,19.7,63,154,3.6,0
3/04/2015 12:00,17.4,61,15,4,0
4/04/2015 12:00,19.6,65,134,3,0
5/04/2015 12:00,19.2,75,207,1.8,3.1
6/04/2015 12:00,19.8,76,173,1.8,0
7/04/2015 12:00,20.7,67,221,1.8,0.3
8/04/2015 12:00,20.6,76,222,3.4,0
9/04/2015 12:00,18,96,167,3.2,1.5
10/04/2015 12:00,18.1,85,242,2.6,3.8
11/04/2015 12:00,18,61,270,3.1,39.8
12/04/2015 12:00,16,68,148,4.2,0.3
13/04/2015 12:00,12.1,96,172,6.6,35.7
14/04/2015 12:00,10.2,62,249,0.4,13.3
15/04/2015 12:00,11.7,59,5,1.8,0
16/04/2015 12:00,13.4,54,25,0.6,0
17/04/2015 12:00,14.6,76,214,1.4,0.3
18/04/2015 12:00,10.5,96,203,0.5,36.9
19/04/2015 12:00,15.5,77,168,0.9,16.6
20/04/2015 12:00,17.6,77,214,1.7,2.4
21/04/2015 12:00,17.7,73,214,0.4,0
22/04/2015 12:00,19.5,62,159,1.2,0
23/04/2015 12:00,18.7,60,240,1.6,0
24/04/2015 12:00,17.9,59,159,1.6,0
25/04/2015 12:00,15,65,154,0.8,0
26/04/2015 12:00,17.2,63,220,2.1,0
27/04/2015 12:00,14.7,96,247,3.5,13.7
28/04/2015 12:00,14,74,70,5.8,19.8
29/04/2015 12:00,11.7,91,151,4.3,3.1
30/04/2015 12:00,11.9,65,340,3.8,1.9
1/05/2015 12:00,13.6,62,219,1.8,0.3
2/05/2015 12:00,14.5,67,333,2.8,0
3/05/2015 12:00,14,62,293,2.2,0
4/05/2015 12:00,12.7,70,139,0.4,0.3
5/05/2015 12:00,15.7,74,131,0.4,0
6/05/2015 12:00,15.8,75,227,3.4,0
7/05/2015 12:00,17.7,84,238,7.1,0
8/05/2015 12:00,15.3,98,175,4.1,50
9/05/2015 12:00,15.1,74,14,2.8,2.2
10/05/2015 12:00,14.4,75,1,2.5,0
11/05/2015 12:00,12.1,98,249,2,0.3
12/05/2015 12:00,11.6,95,168,5.7,13.5
13/05/2015 12:00,13.9,69,108,3.3,8.9
14/05/2015 12:00,14.2,80,231,3.9,0
15/05/2015 12:00,12.2,91,238,5.9,30.8
16/05/2015 12:00,11.8,57,300,4.6,10.6
17/05/2015 12:00,11.2,79,114,0.4,0
18/05/2015 12:00,11.4,81,15,1.9,0.3
19/05/2015 12:00,14.4,61,132,1.4,0
20/05/2015 12:00,13.4,76,179,1.7,0
21/05/2015 12:00,10.9,97,214,2.5,0.6
22/05/2015 12:00,12,65,353,0.4,21
23/05/2015 12:00,9.5,96,253,1.2,5.6
24/05/2015 12:00,11.1,63,28,2.2,21.1
25/05/2015 12:00,8.2,56,351,5.1,5.5
26/05/2015 12:00,9.3,73,72,4.5,0
27/05/2015 12:00,9.2,69,31,0.6,0.3
28/05/2015 12:00,10.5,56,124,0.9,0
29/05/2015 12:00,10.8,64,265,0.5,0
30/05/2015 12:00,13.4,61,256,1.5,0.3
31/05/2015 12:00,9.9,83,155,0.7,0
1/06/2015 12:00,13.8,81,31,1.5,0
2/06/2015 12:00,14.2,87,307,3.9,3.9
3/06/2015 12:00,11.9,91,229,6.8,10.5
4/06/2015 12:00,11.9,92,172,3.7,22.6
5/06/2015 12:00,9.5,96,5,0.4,4.9
6/06/2015 12:00,8.9,96,326,0.4,2.1
7/06/2015 12:00,8.3,98,65,2,0.6
8/06/2015 12:00,12.1,69,180,0.4,0.3
9/06/2015 12:00,10,98,195,2.1,1.4
10/06/2015 12:00,10.3,99,183,2.8,6.6
11/06/2015 12:00,10.2,86,97,1.6,14.5
12/06/2015 12:00,9.7,88,115,3.3,1.6
13/06/2015 12:00,9.7,75,100,2.2,3.6
14/06/2015 12:00,12.1,79,67,6.1,0
15/06/2015 12:00,9.6,92,185,2.8,0.8
16/06/2015 12:00,8.2,60,24,1.5,1.3
17/06/2015 12:00,9.5,66,69,0.5,0.3
18/06/2015 12:00,9.2,87,192,3.2,0
19/06/2015 12:00,12.3,97,179,5,3.5
20/06/2015 12:00,13.6,97,210,8.5,20.9
21/06/2015 12:00,9.7,80,19,3.9,29
22/06/2015 12:00,8.7,56,248,2.6,0.6
23/06/2015 12:00,7.2,57,244,1.9,0
24/06/2015 12:00,7,58,333,1.7,0
25/06/2015 12:00,5.7,65,34,0.7,0
26/06/2015 12:00,6.7,84,251,0.7,0.3
27/06/2015 12:00,11.2,61,40,3.3,0.3
28/06/2015 12:00,10.9,66,23,3.8,0
29/06/2015 12:00,11.6,68,75,5.6,0.6
30/06/2015 12:00,12.1,74,59,4.8,0
1/07/2015 12:00,10.5,84,22,2.7,0.3
2/07/2015 12:00,8.2,97,154,1.5,0
3/07/2015 12:00,11,74,240,4,0
4/07/2015 12:00,11.8,97,161,1.7,10
5/07/2015 12:00,9.8,73,32,5.1,0.6
6/07/2015 12:00,11.3,78,83,3.5,0.6
7/07/2015 12:00,9.6,95,164,3.9,15.3
8/07/2015 12:00,5.8,77,272,3.2,17.3
9/07/2015 12:00,4.7,65,11,3,0
10/07/2015 12:00,7.4,56,270,1.1,0
11/07/2015 12:00,7.5,54,245,0.4,0
12/07/2015 12:00,8.5,62,137,0.7,0.3
13/07/2015 12:00,8.1,58,146,0.5,0
14/07/2015 12:00,7.3,81,158,0.4,0.3
15/07/2015 12:00,10.9,83,44,3.2,0.6
16/07/2015 12:00,12,82,35,2.5,23.5
17/07/2015 12:00,9.2,97,220,1,0.3
18/07/2015 12:00,9.5,94,66,3.1,6.9
19/07/2015 12:00,7.2,53,320,8.3,20.5
20/07/2015 12:00,7,81,207,0.4,0
21/07/2015 12:00,8.6,53,330,3.4,2.1
22/07/2015 12:00,10.8,58,339,2.8,0
23/07/2015 12:00,11.5,58,226,0.4,0
24/07/2015 12:00,9.1,73,37,1.9,0.3
25/07/2015 12:00,10.6,65,164,1.4,0
26/07/2015 12:00,11.4,81,NA,5.6823,0
27/07/2015 12:00,13.9,84,5,1.4,4.8
28/07/2015 12:00,12,76,99,3.9,11.9
29/07/2015 12:00,9.5,73,17,2.8,7.8
30/07/2015 12:00,8,58,52,0.7,0
31/07/2015 12:00,8.5,74,88,0.5,0
1/08/2015 12:00,8.2,98,155,3.3,1.3
2/08/2015 12:00,10.8,97,140,3.8,3.9
3/08/2015 12:00,13.8,79,142,3.8,0
4/08/2015 12:00,12.2,91,238,5.2,3.1
5/08/2015 12:00,8.5,98,166,0.6,11.5
6/08/2015 12:00,12.5,80,158,5.2,44
7/08/2015 12:00,9.8,72,176,6.7,6.4
8/08/2015 12:00,4.9,87,69,2.5,13.2
9/08/2015 12:00,7.5,74,231,0.4,1.7
10/08/2015 12:00,8,64,254,0.5,3.5
11/08/2015 12:00,7.4,57,357,1.4,0
12/08/2015 12:00,8.6,68,233,0.4,0
13/08/2015 12:00,10.6,59,186,0.4,0
14/08/2015 12:00,10.5,78,39,4.1,0
15/08/2015 12:00,10.6,78,24,1.8,22.3
16/08/2015 12:00,12.5,60,219,1.7,0
17/08/2015 12:00,11.9,62,106,0.7,0
18/08/2015 12:00,11,71,295,1.3,0
19/08/2015 12:00,11,88,248,6.1,3.6
20/08/2015 12:00,10.2,71,323,4.4,7.6
21/08/2015 12:00,11.7,60,168,0.4,0
22/08/2015 12:00,11.9,55,130,0.7,0
23/08/2015 12:00,12.4,71,226,1.6,0.3
24/08/2015 12:00,12,76,185,1.9,0.3
25/08/2015 12:00,11.1,96,178,5.9,22.8
26/08/2015 12:00,12.7,66,106,0.6,9.8
27/08/2015 12:00,11.3,56,76,0.6,0.3
28/08/2015 12:00,13.1,64,126,1,0
29/08/2015 12:00,10.2,79,207,0.6,0
30/08/2015 12:00,13.2,96,173,3,9
31/08/2015 12:00,11.3,86,158,0.7,0
1/09/2015 12:00,10.9,90,141,1,5.7
2/09/2015 12:00,12.3,85,181,4.9,11.3
3/09/2015 12:00,11.7,76,60,5.6,13
4/09/2015 12:00,8.7,83,167,1.6,0
5/09/2015 12:00,11.6,69,351,2.3,1.1
6/09/2015 12:00,10,68,59,3.4,3.9
7/09/2015 12:00,10.8,53,17,0.7,0
8/09/2015 12:00,11.1,54,42,3.9,0
9/09/2015 12:00,10.4,71,95,1,0
10/09/2015 12:00,10.1,93,249,0.9,1.3
11/09/2015 12:00,9.7,56,325,4.6,8
12/09/2015 12:00,9.6,43,280,5.5,2.2
13/09/2015 12:00,13.8,58,15,1.4,0
14/09/2015 12:00,14.4,59,197,0.8,0
15/09/2015 12:00,10.7,70,47,4.2,0
16/09/2015 12:00,12,68,61,2.7,0
17/09/2015 12:00,14.7,73,164,3.9,0
18/09/2015 12:00,13.7,85,116,3.7,10.3
19/09/2015 12:00,14.8,59,146,0.5,1.3
20/09/2015 12:00,11,81,161,3.9,22.9
21/09/2015 12:00,10.7,57,242,1.1,32
22/09/2015 12:00,13.3,64,109,0.4,1.8
23/09/2015 12:00,11.9,80,136,1.3,4.1
24/09/2015 12:00,15.4,64,176,1.2,3
25/09/2015 12:00,14.7,51,164,0.7,5.9
26/09/2015 12:00,14.4,50,186,3.9,0
27/09/2015 12:00,14.7,45,261,0.4,0
28/09/2015 12:00,13.7,59,140,2.7,5.1
29/09/2015 12:00,15.3,42,133,0.7,0
30/09/2015 12:00,15,58,120,1.9,0
1/10/2015 12:00,15.1,69,170,2.9,0.3
2/10/2015 12:00,12.7,91,121,4.8,38.5
3/10/2015 12:00,13.6,70,258,3.1,12.7
4/10/2015 12:00,15.6,72,133,4.5,0
5/10/2015 12:00,15.2,50,352,5.2,0
6/10/2015 12:00,16.8,63,160,4,2
7/10/2015 12:00,13.8,77,237,1.3,0
8/10/2015 12:00,13.7,55,348,6.2,2.1
9/10/2015 12:00,14.4,45,73,3.5,0.5
10/10/2015 12:00,12.8,73,137,1.3,0
11/10/2015 12:00,16.8,62,187,4.1,0
12/10/2015 12:00,15.3,64,41,6.1,0.3
13/10/2015 12:00,14.9,74,95,4.6,0.3
14/10/2015 12:00,17,61,351,1.3,2.7
15/10/2015 12:00,15.3,66,174,3.4,0
16/10/2015 12:00,15.7,63,112,3.6,0
17/10/2015 12:00,15.2,62,112,4.9,0
18/10/2015 12:00,14.7,74,102,5.6,0.6
19/10/2015 12:00,13.6,55,42,9.3,1.7
20/10/2015 12:00,13.9,52,29,4.9,0
21/10/2015 12:00,14.9,63,100,5.1,0
22/10/2015 12:00,15,86,131,5.4,0
23/10/2015 12:00,17.7,69,100,6,5.9
24/10/2015 12:00,18.4,78,167,1.9,11.9
25/10/2015 12:00,16.8,74,178,2.3,1
26/10/2015 12:00,18,65,172,2.7,0
27/10/2015 12:00,18,51,22,5.6,1
28/10/2015 12:00,14.8,72,187,3.1,0
29/10/2015 12:00,14.2,74,194,0.4,0
30/10/2015 12:00,13.4,57,219,1.2,6.6
31/10/2015 12:00,14.5,60,175,1.5,0
1/11/2015 12:00,17.3,61,183,2,0
2/11/2015 12:00,16.1,59,167,3.2,0
3/11/2015 12:00,13.6,73,129,2.6,0
4/11/2015 12:00,12.2,90,143,4.4,29.3
5/11/2015 12:00,13.5,55,271,2.4,15.6
6/11/2015 12:00,19.1,49,113,0.5,0
7/11/2015 12:00,21.2,40,18,1,0
8/11/2015 12:00,18.4,55,205,1.8,0
9/11/2015 12:00,22,68,240,3.4,0
10/11/2015 12:00,19.9,58,152,3.8,0
11/11/2015 12:00,19.3,58,73,5.7,0
12/11/2015 12:00,14.5,56,188,1.6,4.3
13/11/2015 12:00,13.1,40,223,1.9,0
14/11/2015 12:00,16,52,194,3.7,0
15/11/2015 12:00,13.8,91,148,4.5,2.7
16/11/2015 12:00,13.7,97,273,1.5,19.8
17/11/2015 12:00,13.9,72,63,5.9,5
18/11/2015 12:00,16.1,56,51,4.3,0
19/11/2015 12:00,17.8,49,200,1,0.6
20/11/2015 12:00,12.6,95,223,5.7,4.8
21/11/2015 12:00,11.3,91,58,2.4,12.1
22/11/2015 12:00,16.8,70,96,5.3,14.9
23/11/2015 12:00,18.8,57,178,3.6,0
24/11/2015 12:00,18.4,58,182,5.6,0
25/11/2015 12:00,21,51,214,3.6,0
26/11/2015 12:00,22.8,60,153,3.8,0
27/11/2015 12:00,20.7,66,170,6.9,0
28/11/2015 12:00,19.1,87,162,5.9,30.2
29/11/2015 12:00,21.4,48,138,0.4,0
30/11/2015 12:00,22.4,53,324,2.2,0
1/12/2015 12:00,17.8,69,277,1.8,0
2/12/2015 12:00,17.3,76,187,1.7,0
3/12/2015 12:00,17.8,68,142,1.4,0
4/12/2015 12:00,19,72,157,2.9,0
5/12/2015 12:00,17,66,154,4.5,0
6/12/2015 12:00,16.7,63,65,3.4,0
7/12/2015 12:00,15.8,73,98,3.7,2.3
8/12/2015 12:00,15.3,51,15,5.4,0
9/12/2015 12:00,19.6,53,191,1.3,0
10/12/2015 12:00,18.1,57,134,4.3,0
11/12/2015 12:00,22.6,61,154,3.5,0.3
12/12/2015 12:00,18.7,91,164,4.3,5.8
13/12/2015 12:00,17.4,61,45,6.1,25.4
14/12/2015 12:00,17.7,55,172,2.6,0
15/12/2015 12:00,16.8,63,25,3,0
16/12/2015 12:00,16,70,153,5,0
17/12/2015 12:00,16.7,48,110,2.4,1.6
18/12/2015 12:00,17.8,43,277,1.9,9.2
19/12/2015 12:00,20.6,43,265,0.9,2
20/12/2015 12:00,19.9,67,196,4,0
21/12/2015 12:00,22.9,53,356,4,0
22/12/2015 12:00,21.2,59,358,4.2,0
23/12/2015 12:00,20.9,52,107,1.8,0
24/12/2015 12:00,18.4,65,31,3.2,2.9
25/12/2015 12:00,19.4,76,187,1.2,1.9
26/12/2015 12:00,23.7,48,168,1.6,7.7
27/12/2015 12:00,25.4,44,3,2.4,0
28/12/2015 12:00,23.1,58,242,2.8,0
29/12/2015 12:00,23.7,56,181,3.4,0
30/12/2015 12:00,22.5,45,145,3.9,0
31/12/2015 12:00,23.6,62,76,1.3,0
1/01/2016 12:00,17.8,68,53,2.2,0
2/01/2016 12:00,15.8,88,55,2,3.2
3/01/2016 12:00,19.5,95,181,5.5,32.2
4/01/2016 12:00,17.5,58,164,4.5,4.1
5/01/2016 12:00,17.8,49,20,1.5,0
6/01/2016 12:00,20,50,261,1.6,0
7/01/2016 12:00,18.2,56,329,3.4,0
8/01/2016 12:00,18,96,185,7.6,4
9/01/2016 12:00,22.1,61,114,3.2,9.5
10/01/2016 12:00,19.1,69,83,1.6,0
11/01/2016 12:00,19.3,68,18,0.8,0
12/01/2016 12:00,20.1,76,186,3.1,1.5
13/01/2016 12:00,22.6,59,184,2.6,0
14/01/2016 12:00,21.5,61,192,2.6,0
15/01/2016 12:00,20.5,69,152,4.6,0
16/01/2016 12:00,20.8,68,90,2.7,0
17/01/2016 12:00,22.8,64,316,1.6,0
18/01/2016 12:00,22.1,73,250,4.3,2.3
19/01/2016 12:00,21.3,70,238,3.5,22.2
20/01/2016 12:00,22.5,67,141,2.3,0
21/01/2016 12:00,24.1,58,182,2.6,0
22/01/2016 12:00,23.7,59,213,1.8,0
23/01/2016 12:00,25,59,190,3.4,0
24/01/2016 12:00,26.1,62,230,2.6,0
25/01/2016 12:00,24.9,60,56,1.2,0
26/01/2016 12:00,28,50,156,0.8,0
27/01/2016 12:00,26.9,63,11,1.5,0
28/01/2016 12:00,24.8,58,321,4.3,17.8
29/01/2016 12:00,24.5,67,179,2.5,0
30/01/2016 12:00,24,59,60,3.5,0
31/01/2016 12:00,23.4,64,255,1.5,0
1/02/2016 12:00,21.9,72,278,3.1,7
2/02/2016 12:00,24.7,57,41,2.4,0
3/02/2016 12:00,25.7,54,42,2,3.6
4/02/2016 12:00,21,60,336,2.2,0
5/02/2016 12:00,22.1,74,136,1.6,0
6/02/2016 12:00,23.4,72,149,3.3,16.2
7/02/2016 12:00,23.5,60,200,2,2.6
8/02/2016 12:00,22.4,67,15,2.3,0
9/02/2016 12:00,17.1,95,184,2.2,2.4
10/02/2016 12:00,24.9,57,154,2.5,0
11/02/2016 12:00,23.5,67,248,2,0
12/02/2016 12:00,24.8,62,221,2.8,0
13/02/2016 12:00,24.6,64,238,2.2,0
14/02/2016 12:00,24.7,50,6,2.9,0
15/02/2016 12:00,20.9,64,59,1.7,0.3
16/02/2016 12:00,22.1,63,63,1.3,0
17/02/2016 12:00,17.3,90,278,4.2,5
18/02/2016 12:00,20.3,92,259,4.2,20.8
19/02/2016 12:00,21.5,72,173,6,46.2
20/02/2016 12:00,20.3,65,52,2.7,0
21/02/2016 12:00,21.3,64,38,4.2,0
22/02/2016 12:00,23.6,57,139,1.5,0
23/02/2016 12:00,19.3,77,223,3.8,5
24/02/2016 12:00,21.5,59,80,3.2,0
25/02/2016 12:00,21.1,69,143,3.5,0
26/02/2016 12:00,22.6,69,201,3.6,0
27/02/2016 12:00,24.1,62,155,3.6,0
28/02/2016 12:00,23.4,75,189,3,6.3
29/02/2016 12:00,19.5,96,116,3.8,5.1
1/03/2016 12:00,16.1,86,168,2.5,17.5
2/03/2016 12:00,22,55,169,1.8,0
3/03/2016 12:00,20.2,62,193,1.6,0
4/03/2016 12:00,22.2,63,175,2.4,0
5/03/2016 12:00,21.9,67,205,3.1,0
6/03/2016 12:00,19.1,74,43,3.3,0
7/03/2016 12:00,21.4,73,56,3.9,0
8/03/2016 12:00,23.1,58,103,4,0
9/03/2016 12:00,22.1,54,144,1.1,0
10/03/2016 12:00,19.7,63,121,4.2,0
11/03/2016 12:00,19.6,63,295,1,1.1
12/03/2016 12:00,18.3,47,154,0.7,0
13/03/2016 12:00,20.4,62,166,2.1,0
14/03/2016 12:00,20.5,74,202,2.5,0.9
15/03/2016 12:00,19.5,82,147,3.9,1.1
